Kota,Kecamatan,Kelurahan,Waktu Prakiraan,Suhu (°C),Kelembapan (%),Kondisi Cuaca,Kecepatan Angin (km/jam),Latitude,Longitude
Kabupaten Bandung,Ibun,Mekarwangi,2026-01-27 10:00:00,25,65,Berawan,10.3,-7.1124123498,107.7876528216
Kabupaten Bandung,Ibun,Neglasari,2026-01-27 10:00:00,24,69,Berawan,10.3,-7.1311523074,107.7478583742
Kabupaten Bandung,Ibun,Pangguh,2026-01-27 10:00:00,24,68,Berawan,10.3,-7.0973431554,107.7486031441
Kabupaten Bandung,Ibun,Sudi,2026-01-27 10:00:00,25,67,Berawan,10.3,-7.0801841341,107.7687817686
Kabupaten Bandung,Ibun,Talun,2026-01-27 10:00:00,25,67,Berawan,10.3,-7.065725099,107.7656765471
Kabupaten Bandung,Ibun,Tanggulun,2026-01-27 10:00:00,25,67,Berawan,10.3,-7.055412757,107.7621028354
Kabupaten Bandung,Katapang,Banyusari,2026-01-27 10:00:00,25,69,Berawan,9.0,-7.0177504517,107.5588737578
Kabupaten Bandung,Katapang,Cilampeni,2026-01-27 10:00:00,26,67,Berawan,9.0,-6.9893163524,107.5519841712
Kabupaten Bandung,Katapang,Gandasari,2026-01-27 10:00:00,25,69,Berawan,9.0,-7.024761747,107.5507630073
Kabupaten Bandung,Katapang,Katapang,2026-01-27 10:00:00,26,67,Berawan,9.0,-7.0050486359,107.5463802022
Kabupaten Bandung,Katapang,Pangauban,2026-01-27 10:00:00,26,67,Berawan,9.0,-7.0025107216,107.5555919582
Kabupaten Bandung,Katapang,Sangkanhurip,2026-01-27 10:00:00,26,66,Berawan,9.0,-6.9985648711,107.5669269707
Kabupaten Bandung,Katapang,Sukamukti,2026-01-27 10:00:00,26,66,Berawan,9.0,-7.0025601784,107.580287616
Kabupaten Bandung,Kertasari,Cibeureum,2026-01-27 10:00:00,21,76,Berawan,10.3,-7.1875590191,107.6680957697
Kabupaten Bandung,Kertasari,Cihawuk,2026-01-27 10:00:00,21,76,Berawan,10.3,-7.1949291941,107.7079467639
Kabupaten Bandung,Kertasari,Cikembang,2026-01-27 10:00:00,21,73,Berawan,10.3,-7.2131924252,107.6890821848
Kabupaten Bandung,Kertasari,Neglawangi,2026-01-27 10:00:00,22,69,Hujan Ringan,8.8,-7.2736802818,107.6949895794
Kabupaten Bandung,Kertasari,Resmi Tingal,2026-01-27 10:00:00,22,74,Berawan,10.3,-7.152374615,107.69525208
Kabupaten Bandung,Kertasari,Santosa,2026-01-27 10:00:00,22,67,Hujan Ringan,8.8,-7.2707281238,107.63833807
Kabupaten Bandung,Kertasari,Sukapura,2026-01-27 10:00:00,22,75,Berawan,10.3,-7.1678431231,107.69092167
Kabupaten Bandung,Kertasari,Tarumajaya,2026-01-27 10:00:00,21,73,Hujan Ringan,10.3,-7.2306118819,107.6649648121
Kabupaten Bandung,Kutawaringin,Buninagara,2026-01-27 10:00:00,24,71,Berawan,8.7,-7.0223364434,107.4978958968
Kabupaten Bandung,Kutawaringin,Cibodas,2026-01-27 10:00:00,25,70,Berawan,8.7,-6.9868239313,107.5071979212
Kabupaten Bandung,Kutawaringin,Cilame,2026-01-27 10:00:00,24,73,Berawan,8.1,-7.0409241614,107.4867013237
Kabupaten Bandung,Kutawaringin,Gajah Mekar,2026-01-27 10:00:00,25,69,Berawan,8.7,-6.9755735103,107.5343981426
Kabupaten Bandung,Kutawaringin,Jatisari,2026-01-27 10:00:00,25,69,Berawan,8.7,-6.9762237684,107.5202948085
Kabupaten Bandung,Kutawaringin,Jelegong,2026-01-27 10:00:00,25,69,Berawan,8.7,-6.9556678914,107.5272327565
Kabupaten Bandung,Kutawaringin,Kopo,2026-01-27 10:00:00,25,68,Berawan,8.7,-6.9976462696,107.5339308538
Kabupaten Bandung,Kutawaringin,Kutawaringin,2026-01-27 10:00:00,25,69,Berawan,8.7,-6.999217399,107.5066040656
Kabupaten Bandung,Kutawaringin,Padasuka,2026-01-27 10:00:00,25,70,Berawan,8.7,-7.0136725974,107.5180276762
Kabupaten Bandung,Kutawaringin,Pameuntasan,2026-01-27 10:00:00,26,68,Berawan,9.0,-6.9814742753,107.5447141836
Kabupaten Bandung,Kutawaringin,Sukamulya,2026-01-27 10:00:00,25,69,Berawan,8.7,-7.0092135987,107.4890689752
Kabupaten Bandung,Majalaya,Biru,2026-01-27 10:00:00,25,68,Berawan,8.7,-7.0528622106,107.7256670232
Kabupaten Bandung,Majalaya,Bojong,2026-01-27 10:00:00,25,66,Berawan,10.3,-7.0390942863,107.7753189469
Kabupaten Bandung,Majalaya,Majakerta,2026-01-27 10:00:00,25,66,Berawan,10.3,-7.0415543126,107.7641992199
Kabupaten Bandung,Majalaya,Majalaya,2026-01-27 10:00:00,25,67,Berawan,10.3,-7.0449660842,107.7594125238
Kabupaten Bandung,Majalaya,Majasetra,2026-01-27 09:00:00,24,75,Cerah Berawan,12.1,-7.0339172252,107.7557586941
Kabupaten Bandung,Majalaya,Neglasari,2026-01-27 10:00:00,24,69,Berawan,8.7,-7.0757764971,107.7307961296
Kabupaten Bandung,Majalaya,Padamulya,2026-01-27 10:00:00,25,67,Berawan,10.3,-7.0560228448,107.7483106102
Kabupaten Bandung,Majalaya,Padaulun,2026-01-27 10:00:00,25,68,Berawan,8.7,-7.0542414408,107.7354288076
Kabupaten Bandung,Majalaya,Sukamaju,2026-01-27 10:00:00,25,67,Berawan,10.3,-7.0494295759,107.7533117866
Kabupaten Bandung,Majalaya,Sukamukti,2026-01-27 10:00:00,25,67,Berawan,10.3,-7.059555634,107.7429184699
Kabupaten Bandung,Majalaya,Wangisagara,2026-01-27 10:00:00,25,68,Berawan,10.3,-7.0750615652,107.7417174164
Kabupaten Bandung,Margaasih,Cigondewah Hilir,2026-01-27 10:00:00,25,68,Berawan,9.0,-6.9520338228,107.5511735887
Kabupaten Bandung,Margaasih,Lagadar,2026-01-27 10:00:00,25,70,Berawan,13.3,-6.9276947067,107.5328164819
Kabupaten Bandung,Margaasih,Margaasih,2026-01-27 10:00:00,25,68,Berawan,9.0,-6.9391350658,107.5462384938
Kabupaten Bandung,Margaasih,Mekarrahayu,2026-01-27 10:00:00,26,68,Berawan,9.0,-6.9711981032,107.5520709005
Kabupaten Bandung,Margaasih,Nanjung,2026-01-27 10:00:00,25,68,Berawan,9.0,-6.9539530262,107.538343289
Kabupaten Bandung,Margaasih,Rahayu,2026-01-27 10:00:00,25,68,Berawan,9.0,-6.9581201035,107.5564743813
Kabupaten Bandung,Margahayu,Margahayu Selatan,2026-01-27 10:00:00,26,67,Berawan,9.0,-6.9708202535,107.5664076189
Kabupaten Bandung,Margahayu,Margahayu Tengah,2026-01-27 09:00:00,24,74,Cerah Berawan,9.0,-6.9603456749,107.5717621693
Kabupaten Bandung,Margahayu,Sayati,2026-01-27 10:00:00,26,67,Berawan,9.0,-6.9713688673,107.5758781715
